,title,code,type,lastupdateofdata,lasttablestructurechange,datastart,dataend
0,"Populationbysex,age,countryofbirth,labourstatusanddegreeofurbanisation",LFST_R_PGAUWSC,dataset,2024-09-12T23:00:00+0200,2024-04-24T23:00:00+0200,1995,2023
1,"Populationbysex,age,citizenship,labourstatusanddegreeofurbanisation",LFST_R_PGAUWSN,dataset,2024-09-12T23:00:00+0200,2024-04-24T23:00:00+0200,1995,2023
2,"Labourmarketslackbysex,ageandNUTS2region",LFST_R_SLA_GA,dataset,2024-09-12T23:00:00+0200,2024-04-24T23:00:00+0200,2008,2023
3,"Unemploymentratesbysex,ageanddegreeofurbanisation(%)",LFST_R_URGAU,dataset,2024-09-12T23:00:00+0200,2024-04-24T23:00:00+0200,1992,2023
4,Grossweightofgoodshandledinallportsbydirection-annualdata,MAR_GO_AA,dataset,2024-10-21T23:00:00+0200,2024-10-01T23:00:00+0200,1997,2023
5,Grossweightofgoodstransportedto/frommainports-Belgium,MAR_GO_AM_BE,dataset,2024-07-09T23:00:00+0200,2024-07-09T23:00:00+0200,1997,2023
6,Grossweightofgoodstransportedto/frommainports-Bulgaria,MAR_GO_AM_BG,dataset,2024-07-09T23:00:00+0200,2024-07-09T23:00:00+0200,2001,2023
7,Grossweightofgoodstransportedto/frommainports-Cyprus,MAR_GO_AM_CY,dataset,2024-08-26T23:00:00+0200,2024-08-26T23:00:00+0200,2002,2023
8,Grossweightofgoodstransportedto/frommainports-Germany,MAR_GO_AM_DE,dataset,2024-07-09T23:00:00+0200,2024-07-09T23:00:00+0200,1997,2023
9,Grossweightofgoodstransportedto/frommainports-Denmark,MAR_GO_AM_DK,dataset,2024-09-23T23:00:00+0200,2024-09-23T23:00:00+0200,1997,2023
10,Grossweightofgoodstransportedto/frommainports-Estonia,MAR_GO_AM_EE,dataset,2024-07-26T23:00:00+0200,2024-07-26T23:00:00+0200,2002,2023
11,Grossweightofgoodstransportedto/frommainports-Greece,MAR_GO_AM_EL,dataset,2024-10-21T23:00:00+0200,2024-10-21T23:00:00+0200,2000,2023
12,Grossweightofgoodstransportedto/frommainports-Spain,MAR_GO_AM_ES,dataset,2024-07-09T23:00:00+0200,2024-07-09T23:00:00+0200,2000,2023
